ID,Name,Class,Type,CD,Region,Parent,Slug,Lat,Lng,CoordSrc,Pop2021,Pop2016,Dwellings2021,LandKm2,PopSrc,DistWinnipegKM,DistBrandonKM,Score,Gate,DeferReason
MB-UNP-culver,"Culver",COMMUNITY,"Unincorporated Community",01,Eastman,,culver,49.89444,-95.67028,CGN,,,,,"",105,307,33.8,DEFER,"no grounded population"
MB-UNP-cutts,"Cutts",COMMUNITY,"Unincorporated Community",17,Parkland,,cutts,50.75611,-99.48000,CGN,,,,,"",192,106,33.8,DEFER,"no grounded population"
MB-UNP-dalny,"Dalny",COMMUNITY,"Unincorporated Community",05,Westman,,dalny,49.09944,-100.90250,CGN,,,,,"",286,108,33.8,DEFER,"no grounded population"
MB-UNP-deerwood,"Deerwood",COMMUNITY,"Unincorporated Community",03,Pembina Valley,,deerwood,49.39778,-98.38639,CGN,,,,,"",106,123,33.8,DEFER,"no grounded population"
MB-UNP-finns,"Finns",COMMUNITY,"Unincorporated Community",18,Interlake,,finns,50.86111,-96.99444,CGN,,,,,"",108,238,33.8,DEFER,"no grounded population"
MB-UNP-florze,"Florze",COMMUNITY,"Unincorporated Community",01,Eastman,,florze,49.31167,-95.94722,CGN,,,,,"",108,295,33.8,DEFER,"no grounded population"
MB-UNP-glencross,"Glencross",COMMUNITY,"Unincorporated Community",03,Pembina Valley,,glencross,49.11722,-98.01444,CGN,,,,,"",107,162,33.8,DEFER,"no grounded population"
MB-UNP-hochfeld,"Hochfeld",COMMUNITY,"Community",03,Pembina Valley,,hochfeld,49.07806,-97.93694,CGN,,,,,"",108,169,33.8,DEFER,"no grounded population"
MB-UNP-jaroslaw,"Jaroslaw",COMMUNITY,"Unincorporated Community",18,Interlake,,jaroslaw,50.85694,-97.06389,CGN,,,,,"",107,233,33.8,DEFER,"no grounded population"
MB-UNP-kingsley,"Kingsley",COMMUNITY,"Unincorporated Community",04,Pembina Valley,,kingsley,49.33806,-98.70250,CGN,,,,,"",129,106,33.8,DEFER,"no grounded population"
MB-UNP-manson,"Manson",COMMUNITY,"Community",06,Westman,,manson,50.13667,-101.36833,CGN,,,,,"",303,106,33.8,DEFER,"no grounded population"
MB-UNP-marco,"Marco",COMMUNITY,"Unincorporated Community",16,Parkland,,marco,50.72806,-100.59972,CGN,,,,,"",263,108,33.8,DEFER,"no grounded population"
MB-UNP-mcmunn,"McMunn",COMMUNITY,"Community",01,Eastman,,mcmunn,49.63056,-95.70250,CGN,,,,,"",107,306,33.8,DEFER,"no grounded population"
MB-UNP-neuenberg,"Neuenberg",COMMUNITY,"Community",03,Pembina Valley,,neuenberg,49.08944,-97.90778,CGN,,,,,"",105,170,33.8,DEFER,"no grounded population"
MB-UNP-neuhorst,"Neuhorst",COMMUNITY,"Community",03,Pembina Valley,,neuhorst,49.00750,-97.74000,CGN,,,,,"",108,185,33.8,DEFER,"no grounded population"
MB-UNP-nutimik-lake,"Nutimik Lake",COMMUNITY,"Unincorporated Community",01,Eastman,,nutimik-lake,50.14750,-95.69139,CGN,,,,,"",107,306,33.8,DEFER,"no grounded population"
MB-UNP-pinawa-bay,"Pinawa Bay",COMMUNITY,"Community",01,Eastman,,pinawa-bay,50.32417,-95.79194,CGN,,,,,"",107,301,33.8,DEFER,"no grounded population"
MB-UNP-schoenwiese,"Schoenwiese",COMMUNITY,"Community",03,Pembina Valley,,schoenwiese,49.03611,-97.82167,CGN,,,,,"",108,178,33.8,DEFER,"no grounded population"
MB-UNP-silver,"Silver",COMMUNITY,"Community",18,Interlake,,silver,50.84583,-97.21750,CGN,,,,,"",106,223,33.8,DEFER,"no grounded population"
MB-UNP-skylake,"Skylake",COMMUNITY,"Unincorporated Community",18,Interlake,,skylake,50.84694,-97.36611,CGN,,,,,"",107,214,33.8,DEFER,"no grounded population"
MB-UNP-st-lupicin,"St. Lupicin",COMMUNITY,"Unincorporated Community",04,Pembina Valley,,st-lupicin,49.45861,-98.47639,CGN,,,,,"",108,115,33.8,DEFER,"no grounded population"
MB-UNP-sundown,"Sundown",COMMUNITY,"Community",01,Eastman,,sundown,49.10361,-96.26667,CGN,,,,,"",108,279,33.8,DEFER,"no grounded population"
MB-UNP-sunset-bay,"Sunset Bay",COMMUNITY,"Unincorporated Community",01,Eastman,,sunset-bay,50.34083,-95.80500,CGN,,,,,"",107,301,33.8,DEFER,"no grounded population"
MB-UNP-sunville,"Sunville",COMMUNITY,"Unincorporated Community",17,Parkland,,sunville,50.67111,-99.18444,CGN,,,,,"",169,106,33.8,DEFER,"no grounded population"
MB-UNP-valhalla,"Valhalla",COMMUNITY,"Unincorporated Community",18,Interlake,,valhalla,50.83500,-96.95000,CGN,,,,,"",105,239,33.8,DEFER,"no grounded population"
MB-UNP-wood-bay,"Wood Bay",COMMUNITY,"Unincorporated Community",04,Pembina Valley,,wood-bay,49.25111,-98.81611,CGN,,,,,"",141,105,33.8,DEFER,"no grounded population"
MB-4606029,"Canupawakpa Dakota First Nation (Oak Lake 59)",CSD,"Indian Reserve",06,Westman,,canupawakpa-dakota-first-nation-oak-lake-59,,,,322,305,118,10.46,"StatCan 98-10-0002",,,33.7,DEFER,"no verified coordinates"
MB-UNP-blumenfeld,"Blumenfeld",COMMUNITY,"Community",03,Pembina Valley,,blumenfeld,49.05028,-97.95889,CGN,,,,,"",111,169,33.7,DEFER,"no grounded population"
MB-UNP-elva,"Elva",COMMUNITY,"Community",05,Westman,,elva,49.21611,-101.11528,CGN,,,,,"",297,110,33.7,DEFER,"no grounded population"
MB-UNP-friedensfeld-west,"Friedensfeld West",COMMUNITY,"Unincorporated Community",03,Pembina Valley,,friedensfeld-west,49.05694,-97.93528,CGN,,,,,"",110,170,33.7,DEFER,"no grounded population"
MB-UNP-langruth,"Langruth",COMMUNITY,"Community",08,Central Plains,,langruth,50.38528,-98.67417,CGN,,,,,"",122,109,33.7,DEFER,"no grounded population"
MB-UNP-lone-spruce,"Lone Spruce",COMMUNITY,"Unincorporated Community",08,Central Plains,,lone-spruce,50.53556,-98.82222,CGN,,,,,"",139,111,33.7,DEFER,"no grounded population"
MB-UNP-lundar,"Lundar",COMMUNITY,"Local Urban District",18,Interlake,,lundar,50.69556,-98.03083,CGN,,,,,"",109,166,33.7,DEFER,"no grounded population"
MB-UNP-osterwick,"Osterwick",COMMUNITY,"Community",03,Pembina Valley,,osterwick,49.08833,-97.99556,CGN,,,,,"",109,165,33.7,DEFER,"no grounded population"
MB-UNP-poplar-bay,"Poplar Bay",COMMUNITY,"Unincorporated Community",01,Eastman,,poplar-bay,50.37417,-95.78028,CGN,,,,,"",110,303,33.7,DEFER,"no grounded population"
MB-UNP-reinland,"Reinland",COMMUNITY,"Community",03,Pembina Valley,,reinland,49.04167,-97.87139,CGN,,,,,"",109,175,33.7,DEFER,"no grounded population"
MB-UNP-rosengart,"Rosengart",COMMUNITY,"Community",03,Pembina Valley,,rosengart,49.01917,-97.86056,CGN,,,,,"",111,177,33.7,DEFER,"no grounded population"
MB-UNP-rossman-lake-south,"Rossman Lake South",COMMUNITY,"Unincorporated Community",16,Parkland,,rossman-lake-south,50.72917,-100.68917,CGN,,,,,"",269,111,33.7,DEFER,"no grounded population"
MB-UNP-thornhill,"Thornhill",COMMUNITY,"Community",03,Pembina Valley,,thornhill,49.20028,-98.23167,CGN,,,,,"",110,143,33.7,DEFER,"no grounded population"
MB-UNP-tilston,"Tilston",COMMUNITY,"Community",05,Westman,,tilston,49.39361,-101.31278,CGN,,,,,"",306,110,33.7,DEFER,"no grounded population"
MB-UNP-wattsview,"Wattsview",COMMUNITY,"Unincorporated Community",15,Westman,,wattsview,50.37528,-101.22861,CGN,,,,,"",296,108,33.7,DEFER,"no grounded population"
MB-UNP-altamont,"Altamont",COMMUNITY,"Local Urban District",04,Pembina Valley,,altamont,49.39861,-98.49722,CGN,,,,,"",112,116,33.6,DEFER,"no grounded population"
MB-UNP-betula-lake,"Betula Lake",COMMUNITY,"Unincorporated Community",01,Eastman,,betula-lake,50.06833,-95.57861,CGN,,,,,"",113,314,33.6,DEFER,"no grounded population"
MB-UNP-coulter,"Coulter",COMMUNITY,"Community",05,Westman,,coulter,49.09083,-100.98528,CGN,,,,,"",292,113,33.6,DEFER,"no grounded population"
MB-UNP-east-braintree,"East Braintree",COMMUNITY,"Community",01,Eastman,,east-braintree,49.61944,-95.62333,CGN,,,,,"",113,312,33.6,DEFER,"no grounded population"
MB-UNP-foxwarren,"Foxwarren",COMMUNITY,"Community",16,Parkland,,foxwarren,50.51722,-101.15139,CGN,,,,,"",294,113,33.6,DEFER,"no grounded population"
