ID,Name,Class,Type,CD,Region,Parent,Slug,Lat,Lng,CoordSrc,Pop2021,Pop2016,Dwellings2021,LandKm2,PopSrc,DistWinnipegKM,DistBrandonKM,Score,Gate,DeferReason
MB-4618060,Grahamdale,CSD,Rural Municipality,18,Interlake,,grahamdale,51.37500,-98.54167,CGN,1278,1334,886,2365.94,StatCan 98-10-0002,192,197,51.7,BUILD,
MB-4617072,Mossey River,CSD,Rural Municipality,17,Parkland,,mossey-river,51.66667,-100.00000,CGN,1450,1145,730,1119.96,StatCan 98-10-0002,282,202,51.6,BUILD,
MB-UNP-tyndall,Tyndall,COMMUNITY,Local Urban District,12,Eastman,,tyndall,50.08278,-96.65833,CGN,935,,,,GeoNames (census-derived),40,237,51.6,BUILD,
MB-4616005,Rossburn,CSD,Rural Municipality,16,Parkland,,rossburn,50.72778,-100.74028,CGN,973,976,619,672.29,StatCan 98-10-0002,272,113,51.5,BUILD,
MB-4601078,Victoria Beach,CSD,Rural Municipality,01,Eastman,,victoria-beach,50.65056,-96.56472,CGN,689,398,1854,20.71,StatCan 98-10-0002,93,257,51.4,BUILD,
MB-UNP-warren,Warren,COMMUNITY,Local Urban District,14,Interlake,,warren,50.13167,-97.54667,CGN,818,,,,GeoNames (census-derived),39,175,51.4,BUILD,
MB-4615032,Oakview,CSD,Community,15,Westman,,oakview,51.08672,-98.63544,GeoNames,1928,1626,828,1141.98,StatCan 98-10-0002,170,166,51.3,BUILD,
MB-4617035,McCreary,CSD,Rural Municipality,17,Parkland,,mccreary,50.75000,-99.33333,CGN,748,892,396,527.77,StatCan 98-10-0002,183,109,51.1,BUILD,
MB-4613049,Dunnottar,CSD,Village,13,Interlake,,dunnottar,50.45389,-96.94722,CGN,989,763,1206,2.8,StatCan 98-10-0002,64,224,51,BUILD,
MB-4621045,The Pas,CSD,Town,21,Northern Manitoba,,the-pas,53.82500,-101.25333,CGN,5639,5369,2365,44.69,StatCan 98-10-0002,520,451,49.9,BUILD,
MB-4621064,Flin Flon (Part),CSD,City,21,Northern Manitoba,,flin-flon-part,54.76806,-101.86417,CGN,4940,4991,2533,13.14,StatCan 98-10-0002,630,562,48.2,BUILD,
MB-UNP-norway-house,Norway House,COMMUNITY,Northern Community,22,Northern Manitoba,,norway-house,53.99028,-97.81556,CGN,5753,4807,1298,,GeoNames (census-derived),458,483,47.8,BUILD,
